id,city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
6228,"г. Хабаровск, ул. Краснодарская, д. 35",2,43454,1719.4,,,,
6229,"г. Хабаровск, ул. Краснодарская, д. 37",0,43888,1584.3,,,,
6230,"г. Хабаровск, ул. Краснодарская, д. 39",0,49631,1726.4,,,,
6231,"г. Хабаровск, ул. Краснодарская, д. 41",0,46461,4428.9,,,,
6232,"г. Хабаровск, ул. Краснодарская, д. 43",0,68102,3676,,,,
6233,"г. Хабаровск, ул. Краснодарская, д. 45",0,93620,4323.2,,,,
6234,"г. Хабаровск, ул. Краснодарская, д. 47",0,78072,4216.6,,,,
6235,"г. Хабаровск, ул. Краснодарская, д. 71а",0,11887,126.2,,,,
6236,"г. Хабаровск, ул. Краснознаменная, д. 10",0,15293,600.9,,,,
6237,"г. Хабаровск, ул. Краснознаменная, д. 11",0,17512,219.1,,,,
6238,"г. Хабаровск, ул. Краснознаменная, д. 6",0,29427,548.1,,,,
6239,"г. Хабаровск, ул. Краснознаменная, д. 8",0,13599,603.1,,,,
6240,"г. Хабаровск, ул. Краснореченская, д. 101",3,59299,3175.7,,,,
6241,"г. Хабаровск, ул. Краснореченская, д. 101А",0,40196,1649.5,,,,
6242,"г. Хабаровск, ул. Краснореченская, д. 103",0,29330,1687.1,,,,
6243,"г. Хабаровск, ул. Краснореченская, д. 103А",0,44027,3556.8,,,,
6244,"г. Хабаровск, ул. Краснореченская, д. 105А",0,95457,7511.16,,,,
6245,"г. Хабаровск, ул. Краснореченская, д. 105а",0,74655,6973.3,,,,
6246,"г. Хабаровск, ул. Краснореченская, д. 106",0,32085,917.8,,,,
6247,"г. Хабаровск, ул. Краснореченская, д. 107",0,74342,2787.6,,,,
6248,"г. Хабаровск, ул. Краснореченская, д. 109",0,73436,2905.6,,,,
6249,"г. Хабаровск, ул. Краснореченская, д. 11",2,30050,2963.2,,,,
6250,"г. Хабаровск, ул. Краснореченская, д. 113",0,27312,2781,,,,
6251,"г. Хабаровск, ул. Краснореченская, д. 113А",0,39399,990.3,,,,
6252,"г. Хабаровск, ул. Краснореченская, д. 114",0,58700,4018.7,,,,
6253,"г. Хабаровск, ул. Краснореченская, д. 116",0,33384,2327.9,,,,
6254,"г. Хабаровск, ул. Краснореченская, д. 117",0,60819,2707.6,,,,
6255,"г. Хабаровск, ул. Краснореченская, д. 117А",0,70024,3775.4,,,,
6256,"г. Хабаровск, ул. Краснореченская, д. 119",0,17005,1011.2,,,,
6257,"г. Хабаровск, ул. Краснореченская, д. 122",5,94118,6710.3,,,,
6258,"г. Хабаровск, ул. Краснореченская, д. 123",0,67187,4143.1,,,,
6259,"г. Хабаровск, ул. Краснореченская, д. 125",0,27475,1025.3,,,,
6260,"г. Хабаровск, ул. Краснореченская, д. 127А",0,27478,371.6,,,,
6261,"г. Хабаровск, ул. Краснореченская, д. 128",0,80210,7503.5,,,,
6262,"г. Хабаровск, ул. Краснореченская, д. 129",0,25883,563.1,,,,
6263,"г. Хабаровск, ул. Краснореченская, д. 13",0,34714,2514.3,,,,
6264,"г. Хабаровск, ул. Краснореченская, д. 133",0,18326,541.2,,,,
6265,"г. Хабаровск, ул. Краснореченская, д. 13А",0,44299,1698.2,,,,
6266,"г. Хабаровск, ул. Краснореченская, д. 141",0,66705,2715.2,,,,
6267,"г. Хабаровск, ул. Краснореченская, д. 147",0,65721,4865.7,,,,
6268,"г. Хабаровск, ул. Краснореченская, д. 149",3,71128,12978.8,,,,
6269,"г. Хабаровск, ул. Краснореченская, д. 149, лит. с",0,10408,100,,,,
6270,"г. Хабаровск, ул. Краснореченская, д. 15",0,46230,2531.9,,,,
6271,"г. Хабаровск, ул. Краснореченская, д. 155",0,100824,13902.5,,,,
6272,"г. Хабаровск, ул. Краснореченская, д. 155А",0,78467,11883.1,,,,
6273,"г. Хабаровск, ул. Краснореченская, д. 157",0,124341,25383.9,,,,
6274,"г. Хабаровск, ул. Краснореченская, д. 157А",0,166546,13748.6,,,,
6275,"г. Хабаровск, ул. Краснореченская, д. 159а",0,89219,18204,,,,
6276,"г. Хабаровск, ул. Краснореченская, д. 16",6,23158,619.7,,,,
6277,"г. Хабаровск, ул. Краснореченская, д. 161",0,180468,18902.1,,,,
6278,"г. Хабаровск, ул. Краснореченская, д. 161А",0,93373,20064.6,,,,
6279,"г. Хабаровск, ул. Краснореченская, д. 163",0,122982,19993.2,,,,
6280,"г. Хабаровск, ул. Краснореченская, д. 163а",0,7610,100,,,,
6281,"г. Хабаровск, ул. Краснореченская, д. 165",0,157801,20043.8,,,,
6282,"г. Хабаровск, ул. Краснореченская, д. 165А",0,144829,12435.1,,,,
6283,"г. Хабаровск, ул. Краснореченская, д. 167",0,163643,17174.4,,,,
6284,"г. Хабаровск, ул. Краснореченская, д. 169",0,118280,17086.1,,,,
6285,"г. Хабаровск, ул. Краснореченская, д. 17",0,63067,2949.3,,,,
6286,"г. Хабаровск, ул. Краснореченская, д. 171",0,111831,9690.4,,,,
6287,"г. Хабаровск, ул. Краснореченская, д. 173",0,91199,9763,,,,
